Features selected,Binary representation,Error,Lookup value
"(0,)",100000000,0.4651162790697675,0.4551162790697675
"(1,)",010000000,0.6511627906976745,0.6411627906976745
"(2,)",001000000,0.41860465116279066,0.40860465116279066
"(3,)",000100000,0.41860465116279066,0.40860465116279066
"(4,)",000010000,0.6744186046511628,0.6644186046511628
"(5,)",000001000,0.4883720930232558,0.4783720930232558
"(6,)",000000100,0.41860465116279066,0.40860465116279066
"(7,)",000000010,0.6511627906976745,0.6411627906976745
"(8,)",000000001,0.7209302325581395,0.7109302325581395
"(0, 1)",110000000,0.41860465116279066,0.39860465116279065
"(0, 2)",101000000,0.2790697674418605,0.2590697674418605
"(0, 3)",100100000,0.41860465116279066,0.39860465116279065
"(0, 4)",100010000,0.41860465116279066,0.39860465116279065
"(0, 5)",100001000,0.41860465116279066,0.39860465116279065
"(0, 6)",100000100,0.37209302325581395,0.35209302325581393
"(0, 7)",100000010,0.4418604651162791,0.42186046511627906
"(0, 8)",100000001,0.4651162790697675,0.4451162790697675
"(1, 2)",011000000,0.627906976744186,0.607906976744186
"(1, 3)",010100000,0.34883720930232553,0.3288372093023255
"(1, 4)",010010000,0.6976744186046512,0.6776744186046512
"(1, 5)",010001000,0.6976744186046512,0.6776744186046512
"(1, 6)",010000100,0.37209302325581395,0.35209302325581393
"(1, 7)",010000010,0.627906976744186,0.607906976744186
"(1, 8)",010000001,0.6511627906976745,0.6311627906976744
"(2, 3)",001100000,0.3023255813953488,0.2823255813953488
"(2, 4)",001010000,0.6046511627906976,0.5846511627906976
"(2, 5)",001001000,0.5116279069767442,0.4916279069767442
"(2, 6)",001000100,0.32558139534883723,0.3055813953488372
"(2, 7)",001000010,0.4651162790697675,0.4451162790697675
"(2, 8)",001000001,0.41860465116279066,0.39860465116279065
"(3, 4)",000110000,0.32558139534883723,0.3055813953488372
"(3, 5)",000101000,0.34883720930232553,0.3288372093023255
"(3, 6)",000100100,0.2790697674418605,0.2590697674418605
"(3, 7)",000100010,0.37209302325581395,0.35209302325581393
"(3, 8)",000100001,0.4418604651162791,0.42186046511627906
"(4, 5)",000011000,0.41860465116279066,0.39860465116279065
"(4, 6)",000010100,0.37209302325581395,0.35209302325581393
"(4, 7)",000010010,0.5581395348837209,0.5381395348837209
"(4, 8)",000010001,0.6511627906976745,0.6311627906976744
"(5, 6)",000001100,0.41860465116279066,0.39860465116279065
"(5, 7)",000001010,0.37209302325581395,0.35209302325581393
"(5, 8)",000001001,0.4883720930232558,0.4683720930232558
"(6, 7)",000000110,0.32558139534883723,0.3055813953488372
"(6, 8)",000000101,0.4418604651162791,0.42186046511627906
"(7, 8)",000000011,0.627906976744186,0.607906976744186
"(0, 1, 2)",111000000,0.2790697674418605,0.24906976744186052
"(0, 1, 3)",110100000,0.37209302325581395,0.3420930232558139
"(0, 1, 4)",110010000,0.41860465116279066,0.38860465116279064
"(0, 1, 5)",110001000,0.41860465116279066,0.38860465116279064
"(0, 1, 6)",110000100,0.39534883720930236,0.36534883720930234
"(0, 1, 7)",110000010,0.4418604651162791,0.41186046511627905
"(0, 1, 8)",110000001,0.41860465116279066,0.38860465116279064
"(0, 2, 3)",101100000,0.3023255813953488,0.2723255813953488
"(0, 2, 4)",101010000,0.2325581395348837,0.2025581395348837
"(0, 2, 5)",101001000,0.32558139534883723,0.2955813953488372
"(0, 2, 6)",101000100,0.3023255813953488,0.2723255813953488
"(0, 2, 7)",101000010,0.2325581395348837,0.2025581395348837
"(0, 2, 8)",101000001,0.3023255813953488,0.2723255813953488
"(0, 3, 4)",100110000,0.34883720930232553,0.3188372093023255
"(0, 3, 5)",100101000,0.34883720930232553,0.3188372093023255
"(0, 3, 6)",100100100,0.2790697674418605,0.24906976744186052
"(0, 3, 7)",100100010,0.34883720930232553,0.3188372093023255
"(0, 3, 8)",100100001,0.41860465116279066,0.38860465116279064
"(0, 4, 5)",100011000,0.39534883720930236,0.36534883720930234
"(0, 4, 6)",100010100,0.34883720930232553,0.3188372093023255
"(0, 4, 7)",100010010,0.4418604651162791,0.41186046511627905
"(0, 4, 8)",100010001,0.41860465116279066,0.38860465116279064
"(0, 5, 6)",100001100,0.41860465116279066,0.38860465116279064
"(0, 5, 7)",100001010,0.4418604651162791,0.41186046511627905
"(0, 5, 8)",100001001,0.41860465116279066,0.38860465116279064
