Features selected,Binary representation,Error,Lookup value
"(0,)",1000000000,0.2704171048019628,0.2604171048019628
"(1,)",0100000000,0.2732211706975114,0.2632211706975114
"(2,)",0010000000,0.34525061338941465,0.33525061338941464
"(3,)",0001000000,0.33648790746582546,0.32648790746582546
"(4,)",0000100000,0.332807570977918,0.322807570977918
"(5,)",0000010000,0.31107606028741674,0.30107606028741674
"(6,)",0000001000,0.27970557308096744,0.26970557308096743
"(7,)",0000000100,0.28987031195233093,0.2798703119523309
"(8,)",0000000010,0.2690150718541886,0.2590150718541886
"(9,)",0000000001,0.34419908867858395,0.33419908867858394
"(0, 1)",1100000000,0.27865404837013674,0.2586540483701367
"(0, 2)",1010000000,0.2599018576936558,0.23990185769365582
"(0, 3)",1001000000,0.2672625306694707,0.2472625306694707
"(0, 4)",1000100000,0.2665615141955836,0.24656151419558361
"(0, 5)",1000010000,0.27584998247458814,0.2558499824745881
"(0, 6)",1000001000,0.263757448300035,0.243757448300035
"(0, 7)",1000000100,0.26428321065545035,0.24428321065545036
"(0, 8)",1000000010,0.20189274447949523,0.18189274447949524
"(0, 9)",1000000001,0.26883981773571675,0.24883981773571676
"(1, 2)",0110000000,0.24377847879425163,0.22377847879425164
"(1, 3)",0101000000,0.2570977917981072,0.23709779179810722
"(1, 4)",0100100000,0.25937609533824046,0.23937609533824047
"(1, 5)",0100010000,0.26848930949877325,0.24848930949877326
"(1, 6)",0100001000,0.2732211706975114,0.2532211706975114
"(1, 7)",0100000100,0.26919032597266035,0.24919032597266036
"(1, 8)",0100000010,0.23869610935856989,0.2186961093585699
"(1, 9)",0100000001,0.27304591657903965,0.25304591657903963
"(2, 3)",0011000000,0.3014370837714686,0.2814370837714686
"(2, 4)",0010100000,0.3091482649842271,0.2891482649842271
"(2, 5)",0010010000,0.30546792849631965,0.28546792849631963
"(2, 6)",0010001000,0.2798808271994392,0.25988082719943917
"(2, 7)",0010000100,0.2912723449001051,0.2712723449001051
"(2, 8)",0010000010,0.21223273746933058,0.1922327374693306
"(2, 9)",0010000001,0.34700315457413244,0.3270031545741324
"(3, 4)",0001100000,0.330354013319313,0.310354013319313
"(3, 5)",0001010000,0.30126182965299686,0.28126182965299684
"(3, 6)",0001001000,0.28005608131791093,0.2600560813179109
"(3, 7)",0001000100,0.2886435331230284,0.26864353312302836
"(3, 8)",0001000010,0.24062390466175954,0.22062390466175955
"(3, 9)",0001000001,0.3321065545040308,0.3121065545040308
"(4, 5)",0000110000,0.30231335436382756,0.28231335436382754
"(4, 6)",0000101000,0.27970557308096744,0.2597055730809674
"(4, 7)",0000100100,0.2870662460567823,0.2670662460567823
"(4, 8)",0000100010,0.24360322467577988,0.2236032246757799
"(4, 9)",0000100001,0.33193130038555907,0.31193130038555905
"(5, 6)",0000011000,0.27900455660708023,0.2590045566070802
"(5, 7)",0000010100,0.2819838766211006,0.26198387662110056
"(5, 8)",0000010010,0.23326323168594465,0.21326323168594466
"(5, 9)",0000010001,0.30021030494216616,0.28021030494216614
"(6, 7)",0000001100,0.27059235892043465,0.25059235892043463
"(6, 8)",0000001010,0.2267788293024886,0.20677882930248861
"(6, 9)",0000001001,0.27900455660708023,0.2590045566070802
"(7, 8)",0000000110,0.24693305292674372,0.22693305292674373
"(7, 9)",0000000101,0.28969505783385907,0.26969505783385905
"(8, 9)",0000000011,0.23887136347704174,0.21887136347704175
"(0, 1, 2)",1110000000,0.251664914125482,0.22166491412548198
"(0, 1, 3)",1101000000,0.2739221871713985,0.2439221871713985
"(0, 1, 4)",1100100000,0.27479845776375744,0.24479845776375744
"(0, 1, 5)",1100010000,0.2791798107255521,0.2491798107255521
"(0, 1, 6)",1100001000,0.27620049071153174,0.24620049071153174
"(0, 1, 7)",1100000100,0.27865404837013674,0.24865404837013674
"(0, 1, 8)",1100000010,0.20189274447949523,0.17189274447949524
"(0, 1, 9)",1100000001,0.27865404837013674,0.24865404837013674
"(0, 2, 3)",1011000000,0.24553101997896953,0.21553101997896953
"(0, 2, 4)",1010100000,0.25096389765159477,0.22096389765159477
"(0, 2, 5)",1010010000,0.25972660357518407,0.22972660357518407
"(0, 2, 6)",1010001000,0.26603575184016826,0.23603575184016826
"(0, 2, 7)",1010000100,0.26989134244654744,0.23989134244654745
"(0, 2, 8)",1010000010,0.1957588503329828,0.1657588503329828
"(0, 2, 9)",1010000001,0.25972660357518407,0.22972660357518407
"(0, 3, 4)",1001100000,0.26813880126182965,0.23813880126182965
"(0, 3, 5)",1001010000,0.2742726954083421,0.2442726954083421
"(0, 3, 6)",1001001000,0.26673676831405535,0.23673676831405535
"(0, 3, 7)",1001000100,0.26708727655099895,0.23708727655099895
"(0, 3, 8)",1001000010,0.20189274447949523,0.17189274447949524
"(0, 3, 9)",1001000001,0.26638626007711186,0.23638626007711186
"(0, 4, 5)",1000110000,0.26638626007711186,0.23638626007711186
"(0, 4, 6)",1000101000,0.26638626007711186,0.23638626007711186
"(0, 4, 7)",1000100100,0.2672625306694707,0.2372625306694707
"(0, 4, 8)",1000100010,0.20259376095338244,0.17259376095338244
"(0, 4, 9)",1000100001,0.2672625306694707,0.2372625306694707
"(0, 5, 6)",1000011000,0.2644584647739222,0.2344584647739222
"(0, 5, 7)",1000010100,0.2644584647739222,0.2344584647739222
"(0, 5, 8)",1000010010,0.20189274447949523,0.17189274447949524
"(0, 5, 9)",1000010001,0.2676130389064143,0.2376130389064143
"(0, 6, 7)",1000001100,0.2634069400630915,0.2334069400630915
"(0, 6, 8)",1000001010,0.1971608832807571,0.1671608832807571
"(0, 6, 9)",1000001001,0.26077812828601477,0.23077812828601477
"(0, 7, 8)",1000000110,0.20224325271643884,0.17224325271643884
"(0, 7, 9)",1000000101,0.2644584647739222,0.2344584647739222
"(0, 8, 9)",1000000011,0.20522257273045919,0.1752225727304592
"(1, 2, 3)",0111000000,0.24377847879425163,0.21377847879425163
"(1, 2, 4)",0110100000,0.24360322467577988,0.21360322467577988
"(1, 2, 5)",0110010000,0.2429022082018928,0.2129022082018928
"(1, 2, 6)",0110001000,0.25481948825797407,0.22481948825797407
"(1, 2, 7)",0110000100,0.24518051174202593,0.21518051174202593
"(1, 2, 8)",0110000010,0.20364528566421314,0.17364528566421314
