,Algorithm,Dataset,Mean Fitness,Std Deviation,Best Individual Found Rate
0,PSO,glass,0.2861538461538461,0.0,0.9999999999999999
1,PSO,wine,0.067037037037037,0.0,0.9999999999999999
2,PSO,magic,0.2050683491062039,0.0,0.9999999999999999
3,GA,glass,0.29838461538461536,0.0186828086025123,0.7
4,GA,wine,0.07074074074074072,0.005657500857970179,0.7
5,GA,magic,0.2050683491062039,0.0,0.9999999999999999
6,NSGA-II,glass,0.2861538461538461,0.0,0.9999999999999999
7,NSGA-II,wine,0.067037037037037,0.0,0.9999999999999999
8,NSGA-II,magic,0.2050683491062039,0.0,0.9999999999999999
9,PSO,heart,0.3155555555555555,0.005443310539518154,0.4
10,PSO,zoo,0.0860383064516129,0.00791844142004174,0.1
11,PSO,letters,0.7768333333333334,0.0,0.9999999999999999
12,GA,heart,0.321111111111111,0.003333333333333322,0.1
13,GA,zoo,0.090625,0.0062499999999999995,0.0
14,GA,letters,0.7768333333333334,0.0,0.9999999999999999
15,NSGA-II,heart,0.32222222222222213,0.004969039949999528,0.0
16,NSGA-II,zoo,0.078125,0.0,0.0
17,NSGA-II,letters,0.7768333333333334,0.0,0.9999999999999999
